Символ,Название аспекта,Градус,Флаг,☉ (Солн),☽ (Луна),☿ (Мерк),♀ (Вен),♂ (Марс),♃ (Юпит),♄ (Сату),♅ (Уран),♆ (Непт),♇ (Плут),☊ (Узел),⚸ (Лилит),Астер.,Фикт.,Жребии,Asc/Dsc,MC/IC
☌,Соединение,0°,M,12,10,7,7,7,7,7,5,5,3,3,3,5,5,5,5,5
S/2,Полусептиль,25.7143,,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
⚺,Полусекстиль,30°,,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
⊥,Дециль (или Полуквинтиль),36°,,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N,Нонагон (или Новиль),40°,,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
∠,Полуквадрат,45°,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S,Септиль,51.4286,,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
*,Секстиль,60°,M,10,8,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5
Q,Квинтиль,72°,,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
□,Квадратура,90°,M,10,8,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5
N₂,Сентагон (или Биновиль),100°,,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BS,Бисептиль,102.857,,1,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
⚼,Тридециль (или Полуторный квинтиль),108°,,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1
∆,Тригон (Трин),120°,M,10,8,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5
⚼,Полутораквадрат,135°,,"3,5",3.5,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
±,Биквинтиль,144°,,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ㅈ,Квинконс,150°,,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
3S,Трисептиль,154.285,,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
☍,Оппозиция,180°,M,12,10,7,7,7,7,7,5,5,5,3,3,5,5,5,5,5
